y,z,vy,vz
-0.0117019,6.00413,0.2058,2.98938
-0.00963366,6.03417,0.185896,2.99134
-0.00776541,6.06424,0.165973,2.9931
-0.00609738,6.09432,0.146034,2.99466
-0.00462974,6.12441,0.12608,2.99602
-0.00336264,6.15452,0.106113,2.99718
-0.0022962,6.18464,0.086136,2.99815
-0.00143053,6.21478,0.0661503,2.99891
-0.000765723,6.24492,0.0461579,2.99947
-0.000301836,6.27506,0.0261609,2.99983
-3.89194e-05,6.30521,0.00616128,2.99999
