y,z,vy,vz
-0.240426,1.43122,-0.943532,2.76901
-0.250038,1.45882,-0.961222,2.75957
-0.259826,1.48632,-0.978818,2.74996
-0.269789,1.51372,-0.996317,2.74017
-0.279926,1.54102,-1.01372,2.73021
-0.290237,1.56822,-1.03102,2.72007
-0.300719,1.59532,-1.04822,2.70976
-0.311372,1.62231,-1.06532,2.69928
-0.322195,1.6492,-1.08231,2.68863
-0.333187,1.67598,-1.0992,2.6778
-0.344347,1.70264,-1.11598,2.66681
-0.355673,1.7292,-1.13264,2.65565
-0.367165,1.75564,-1.1492,2.64433
-0.378822,1.78197,-1.16564,2.63283
-0.390642,1.80818,-1.18197,2.62118
-0.402623,1.83428,-1.19818,2.60936
-0.414766,1.86025,-1.21428,2.59738
-0.427069,1.8861,-1.23025,2.58523
-0.43953,1.91183,-1.2461,2.57293
-0.452148,1.93744,-1.26183,2.56047
-0.464922,1.96292,-1.27744,2.54785
-0.477852,1.98827,-1.29292,2.53508
-0.490934,2.01349,-1.30827,2.52215
-0.504169,2.03858,-1.32349,2.50907
-0.517555,2.06354,-1.33858,2.49583
-0.53109,2.08836,-1.35354,2.48245
-0.544774,2.11305,-1.36836,2.46891
-0.558605,2.1376,-1.38305,2.45523
-0.572581,2.16202,-1.3976,2.4414
-0.586701,2.18629,-1.41202,2.42742
-0.600964,2.21042,-1.42629,2.4133
-0.615368,2.23442,-1.44042,2.39904
-0.629912,2.25826,-1.45442,2.38463
-0.644595,2.28196,-1.46826,2.37009
-0.659414,2.30552,-1.48196,2.35541
-0.674369,2.32892,-1.49552,2.34059
-0.689459,2.35218,-1.50892,2.32563
-0.70468,2.37528,-1.52218,2.31054
-0.720033,2.39824,-1.53528,2.29532
-0.735516,2.42104,-1.54824,2.27997
-0.751126,2.44368,-1.56104,2.26448
-0.766863,2.46617,-1.57368,2.24887
-0.782725,2.4885,-1.58617,2.23314
-0.79871,2.51067,-1.5985,2.21728
-0.814816,2.53269,-1.61067,2.20129
-0.831043,2.55454,-1.62269,2.18518
-0.847389,2.57623,-1.63454,2.16896
-0.863851,2.59776,-1.64623,2.15261
-0.880428,2.61912,-1.65776,2.13615
-0.89712,2.64031,-1.66912,2.11957
-0.913923,2.66134,-1.68031,2.10288
-0.930836,2.6822,-1.69134,2.08608
-0.947858,2.70289,-1.7022,2.06916
-0.964987,2.72341,-1.71289,2.05214
-0.982221,2.74377,-1.72341,2.03501
-0.999559,2.76394,-1.73377,2.01778
-1.017,2.78395,-1.74394,2.00044
-1.03454,2.80378,-1.75395,1.983
-1.05218,2.82343,-1.76378,1.96546
-1.06991,2.84291,-1.77343,1.94782
-1.08774,2.86221,-1.78291,1.93009
-1.10566,2.88133,-1.79221,1.91226
-1.12367,2.90028,-1.80133,1.89434
-1.14178,2.91904,-1.81028,1.87633
-1.15997,2.93762,-1.81904,1.85822
-1.17824,2.95602,-1.82762,1.84003
-1.1966,2.97424,-1.83602,1.82176
-1.21505,2.99227,-1.84424,1.8034
-1.23357,3.01012,-1.85227,1.78495
-1.25217,3.02779,-1.86012,1.76643
-1.27085,3.04527,-1.86779,1.74783
-1.2896,3.06256,-1.87527,1.72915
-1.30843,3.07966,-1.88256,1.7104
-1.32732,3.09658,-1.88966,1.69157
-1.34629,3.1133,-1.89658,1.67268
-1.36532,3.12984,-1.9033,1.65371
-1.38442,3.14619,-1.90984,1.63468
-1.40358,3.16234,-1.91619,1.61558
-1.42281,3.17831,-1.92234,1.59642
-1.44209,3.19408,-1.92831,1.57719
-1.46143,3.20966,-1.93408,1.55791
-1.48083,3.22505,-1.93966,1.53857
-1.50028,3.24024,-1.94505,1.51917
-1.51978,3.25523,-1.95024,1.49972
-1.53933,3.27004,-1.95523,1.48022
-1.55893,3.28464,-1.96004,1.46067
-1.57858,3.29905,-1.96464,1.44107
-1.59827,3.31327,-1.96905,1.42142
-1.618,3.32729,-1.97327,1.40173
-1.63777,3.34111,-1.97729,1.382
-1.65759,3.35473,-1.98111,1.36223
-1.67743,3.36815,-1.98473,1.34241
-1.69731,3.38138,-1.98815,1.32257
-1.71723,3.3944,-1.99138,1.30269
-1.73717,3.40723,-1.9944,1.28277
-1.75714,3.41986,-1.99723,1.26283
-1.77714,3.43229,-1.99986,1.24286
-1.79717,3.44452,-2.00229,1.22286
-1.81721,3.45655,-2.00452,1.20283
-1.83728,3.46837,-2.00655,1.18279
-1.85736,3.48,-2.00837,1.16272
-1.87746,3.49143,-2.01,1.14264
-1.89757,3.50265,-2.01143,1.12254
-1.9177,3.51368,-2.01265,1.10243
-1.93784,3.5245,-2.01368,1.0823
-1.95798,3.53512,-2.0145,1.06216
-1.97813,3.54554,-2.01512,1.04202
-1.99829,3.55576,-2.01554,1.02187
-2.01845,3.56578,-2.01576,1.00171
-2.0386,3.57559,-2.01578,0.981553
-2.05876,3.58521,-2.01559,0.961395
-2.07891,3.59462,-2.01521,0.941239
-2.09906,3.60383,-2.01462,0.921087
-2.1192,3.61284,-2.01383,0.900941
-2.13933,3.62165,-2.01284,0.880803
-2.15944,3.63025,-2.01165,0.860674
-2.17954,3.63866,-2.01025,0.840558
-2.19963,3.64686,-2.00866,0.820455
-2.2197,3.65487,-2.00686,0.800369
-2.23975,3.66267,-2.00487,0.7803
-2.25978,3.67027,-2.00267,0.760251
-2.27978,3.67768,-2.00027,0.740225
-2.29975,3.68488,-1.99768,0.720222
-2.3197,3.69188,-1.99488,0.700245
-2.33962,3.69868,-1.99188,0.680296
-2.35951,3.70529,-1.98868,0.660378
-2.37936,3.71169,-1.98529,0.640491
-2.39918,3.7179,-1.98169,0.620638
-2.41896,3.72391,-1.9779,0.600821
-2.4387,3.72972,-1.97391,0.581042
-2.45839,3.73533,-1.96972,0.561303
-2.47805,3.74075,-1.96533,0.541606
-2.49765,3.74597,-1.96075,0.521953
-2.51721,3.75099,-1.95597,0.502345
-2.53672,3.75582,-1.95099,0.482785
-2.55618,3.76045,-1.94582,0.463276
-2.57559,3.76489,-1.94045,0.443817
-2.59494,3.76913,-1.93489,0.424413
-2.61423,3.77318,-1.92913,0.405064
-2.63346,3.77704,-1.92318,0.385773
-2.65263,3.78071,-1.91704,0.366541
-2.67174,3.78418,-1.91071,0.34737
-2.69078,3.78746,-1.90418,0.328263
-2.70975,3.79055,-1.89746,0.309222
-2.72866,3.79346,-1.89055,0.290247
-2.74749,3.79617,-1.88346,0.271341
-2.76625,3.7987,-1.87617,0.252507
-2.78494,3.80103,-1.8687,0.233745
-2.80355,3.80318,-1.86103,0.215058
-2.82208,3.80515,-1.85318,0.196448
-2.84054,3.80693,-1.84515,0.177916
-2.8589,3.80852,-1.83693,0.159465
-2.87719,3.80993,-1.82852,0.141095
-2.89539,3.81116,-1.81993,0.12281
-2.9135,3.81221,-1.81116,0.104611
-2.93152,3.81307,-1.80221,0.0864991
-2.94945,3.81376,-1.79307,0.068477
-2.96729,3.81426,-1.78376,0.0505463
-2.98503,3.81459,-1.77426,0.0327087
-3.00268,3.81474,-1.76459,0.0149661
-3.02023,3.81471,-1.75474,-0.00267979
