y,z,vy,vz
-0.487939,4.30472,1.29924,2.52226
-0.472694,4.33431,1.2814,2.53732
-0.457659,4.36409,1.26338,2.55217
-0.442835,4.39403,1.24518,2.5668
-0.428225,4.42415,1.22682,2.58122
-0.41383,4.45444,1.20829,2.59543
-0.399652,4.48489,1.1896,2.60942
-0.385694,4.51551,1.17074,2.62319
-0.371957,4.54629,1.15173,2.63674
-0.358443,4.57723,1.13256,2.65007
-0.345154,4.60832,1.11323,2.66317
-0.332092,4.63957,1.09375,2.67605
-0.319258,4.67097,1.07413,2.6887
-0.306655,4.70252,1.05436,2.70112
-0.294283,4.73421,1.03444,2.7133
-0.282146,4.76605,1.01438,2.72526
-0.270243,4.79802,0.994187,2.73698
-0.258578,4.83014,0.973856,2.74846
-0.247151,4.86239,0.953393,2.7597
-0.235964,4.89477,0.9328,2.77071
-0.225019,4.92728,0.91208,2.78147
-0.214317,4.95992,0.891236,2.792
-0.20386,4.99268,0.87027,2.80227
-0.193648,5.02556,0.849186,2.81231
-0.183684,5.05856,0.827986,2.82209
-0.173969,5.09167,0.806674,2.83163
-0.164504,5.12489,0.785251,2.84092
-0.15529,5.15823,0.763722,2.84996
-0.146329,5.19167,0.742089,2.85874
-0.137622,5.22521,0.720354,2.86728
-0.129169,5.25886,0.698522,2.87556
-0.120973,5.2926,0.676594,2.88358
-0.113034,5.32643,0.654575,2.89135
-0.105354,5.36036,0.632466,2.89886
-0.0979327,5.39437,0.610271,2.90611
-0.090772,5.42847,0.587993,2.9131
-0.0838727,5.46265,0.565634,2.91984
-0.0772358,5.49691,0.543199,2.92631
-0.0708621,5.53125,0.52069,2.93252
-0.0647526,5.56566,0.498109,2.93846
-0.058908,5.60013,0.475461,2.94414
-0.0533291,5.63468,0.452748,2.94956
-0.0480168,5.66929,0.429974,2.95471
-0.0429716,5.70396,0.407141,2.9596
-0.0381944,5.73868,0.384252,2.96422
-0.0336858,5.77347,0.361311,2.96857
-0.0294463,5.8083,0.338321,2.97265
-0.0254766,5.84318,0.315284,2.97647
-0.0217772,5.8781,0.292205,2.98002
-0.0183485,5.91307,0.269086,2.98329
-0.0151912,5.94807,0.24593,2.9863
-0.0123056,5.98311,0.222741,2.98904
-0.00969202,6.01819,0.199521,2.9915
-0.00735093,6.05329,0.176274,2.9937
-0.00528261,6.08841,0.153003,2.99562
-0.00348734,6.12356,0.129711,2.99727
-0.00196536,6.15873,0.106401,2.99865
-0.000716899,6.19392,0.0830768,2.99976
0.000257889,6.22911,0.0597412,3.0006
0.000958868,6.26432,0.0363974,3.00116
0.00138594,6.29954,0.0130486,3.00145
0.00153905,6.33475,-0.010302,3.00147
0.00141817,6.36997,-0.0336514,3.00122
0.00102332,6.40519,-0.0569962,3.00069
0.000354546,6.4404,-0.0803333,2.99989
-0.000588051,6.4756,-0.103659,2.99882
-0.00180435,6.51078,-0.126972,2.99748
-0.00329418,6.54595,-0.150267,2.99587
-0.00505735,6.58111,-0.173541,2.99398
-0.00709361,6.61624,-0.196792,2.99182
-0.00940269,6.65134,-0.220017,2.98939
-0.0119843,6.68642,-0.243211,2.98669
-0.014838,6.72146,-0.266372,2.98372
-0.0179635,6.75647,-0.289498,2.98048
-0.0213604,6.79144,-0.312583,2.97698
-0.0250281,6.82637,-0.335627,2.9732
-0.0289662,6.86126,-0.358625,2.96915
-0.0331741,6.8961,-0.381574,2.96483
-0.0376514,6.93089,-0.404471,2.96025
-0.0423973,6.96562,-0.427313,2.9554
-0.0474112,7.0003,-0.450097,2.95029
-0.0526924,7.03492,-0.47282,2.94491
-0.0582403,7.06947,-0.495478,2.93926
-0.064054,7.10396,-0.51807,2.93335
-0.0701328,7.13838,-0.54059,2.92718
-0.0764759,7.17272,-0.563037,2.92074
-0.0830823,7.20699,-0.585408,2.91405
-0.0899513,7.24119,-0.607699,2.90709
-0.0970818,7.2753,-0.629908,2.89987
-0.104473,7.30932,-0.65203,2.8924
-0.112123,7.34326,-0.674064,2.88466
-0.120033,7.37711,-0.696007,2.87667
-0.128199,7.41086,-0.717854,2.86843
-0.136622,7.44452,-0.739604,2.85993
-0.145301,7.47808,-0.761254,2.85118
-0.154233,7.51153,-0.782799,2.84217
-0.163418,7.54488,-0.804239,2.83292
-0.172854,7.57812,-0.825569,2.82341
-0.182541,7.61125,-0.846786,2.81366
-0.192477,7.64426,-0.867889,2.80366
-0.202661,7.67716,-0.888873,2.79341
-0.21309,7.70994,-0.909737,2.78292
-0.223765,7.74259,-0.930476,2.77219
-0.234683,7.77512,-0.951089,2.76122
-0.245842,7.80752,-0.971573,2.75001
-0.257242,7.83979,-0.991925,2.73855
-0.268881,7.87192,-1.01214,2.72687
-0.280757,7.90391,-1.03222,2.71494
-0.292869,7.93577,-1.05216,2.70279
-0.305214,7.96748,-1.07195,2.6904
-0.317792,7.99905,-1.0916,2.67778
-0.330601,8.03047,-1.1111,2.66493
-0.343638,8.06174,-1.13045,2.65186
-0.356902,8.09286,-1.14965,2.63856
-0.370392,8.12382,-1.16869,2.62504
-0.384105,8.15462,-1.18757,2.6113
-0.398039,8.18526,-1.20629,2.59733
-0.412193,8.21573,-1.22484,2.58315
-0.426565,8.24604,-1.24323,2.56876
-0.441152,8.27618,-1.26145,2.55415
-0.455954,8.30615,-1.2795,2.53933
-0.470967,8.33595,-1.29737,2.5243
-0.48619,8.36557,-1.31507,2.50906
-0.50162,8.39501,-1.33259,2.49362
-0.517256,8.42427,-1.34992,2.47797
-0.533096,8.45334,-1.36707,2.46213
-0.549136,8.48223,-1.38404,2.44608
-0.565376,8.51093,-1.40082,2.42984
-0.581813,8.53944,-1.41741,2.4134
-0.598444,8.56776,-1.4338,2.39677
-0.615268,8.59588,-1.45,2.37995
-0.632281,8.62381,-1.466,2.36294
-0.649483,8.65154,-1.48181,2.34575
-0.66687,8.67906,-1.49741,2.32837
-0.68444,8.70638,-1.51281,2.31081
-0.70219,8.73349,-1.528,2.29308
-0.720119,8.7604,-1.54298,2.27516
-0.738224,8.7871,-1.55775,2.25708
-0.756502,8.81358,-1.57232,2.23882
-0.774951,8.83985,-1.58666,2.22039
-0.793568,8.8659,-1.6008,2.2018
-0.812351,8.89174,-1.61471,2.18305
-0.831297,8.91735,-1.6284,2.16413
-0.850404,8.94274,-1.64188,2.14505
-0.86967,8.96791,-1.65513,2.12582
-0.88909,8.99286,-1.66815,2.10644
-0.908663,9.01757,-1.68095,2.0869
-0.928387,9.04206,-1.69351,2.06722
-0.948258,9.06632,-1.70585,2.04739
-0.968274,9.09034,-1.71796,2.02742
-0.988432,9.11413,-1.72983,2.00731
